time	V(vid)	V(vodn)	V(vodp)
3.335484375747912e-004	1.298023e-001	6.920103e-001	8.939410e+000
3.384312500747912e-004	1.274353e-001	6.989139e-001	8.933659e+000
3.433140625747912e-004	1.249482e-001	7.067477e-001	8.927032e+000
3.481968750747912e-004	1.223436e-001	7.156507e-001	8.919390e+000
3.530796875747912e-004	1.196239e-001	7.257878e-001	8.910566e+000
3.579625000747912e-004	1.167915e-001	7.373528e-001	8.900365e+000
3.628453125747912e-004	1.138493e-001	7.505752e-001	8.888554e+000
3.677281250747912e-004	1.107998e-001	7.657249e-001	8.874861e+000
3.726109375747912e-004	1.076462e-001	7.831203e-001	8.858965e+000
3.774937500747912e-004	1.043912e-001	8.031360e-001	8.840487e+000
3.823765625747913e-004	1.010379e-001	8.262122e-001	8.818986e+000
3.872593750747913e-004	9.758954e-002	8.528645e-001	8.793940e+000
3.921421875747913e-004	9.404935e-002	8.836958e-001	8.764744e+000
3.970250000747913e-004	9.042063e-002	9.194075e-001	8.730690e+000
4.019078125747913e-004	8.670682e-002	9.608124e-001	8.690961e+000
4.067906250747913e-004	8.291140e-002	1.008846e+000	8.644617e+000
4.116734375747913e-004	7.903795e-002	1.064577e+000	8.590581e+000
4.165562500747913e-004	7.509010e-002	1.129215e+000	8.527637e+000
4.214390625747913e-004	7.107159e-002	1.204112e+000	8.454424e+000
4.263218750747913e-004	6.698619e-002	1.290761e+000	8.369442e+000
4.312046875747913e-004	6.283774e-002	1.390776e+000	8.271070e+000
4.360875000747913e-004	5.863015e-002	1.505864e+000	8.157586e+000
4.409703125747913e-004	5.436738e-002	1.637779e+000	8.027227e+000
4.458531250747913e-004	5.005344e-002	1.788253e+000	7.878251e+000
4.507359375747913e-004	4.569240e-002	1.958903e+000	7.709028e+000
4.556187500747913e-004	4.128835e-002	2.151121e+000	7.518154e+000
4.605015625747913e-004	3.684544e-002	2.365939e+000	7.304585e+000
4.653843750747913e-004	3.236785e-002	2.603885e+000	7.067781e+000
4.702671875747913e-004	2.785980e-002	2.864845e+000	6.807845e+000
4.751500000747913e-004	2.332553e-002	3.147938e+000	6.525646e+000
4.800328125747913e-004	1.876930e-002	3.451431e+000	6.222907e+000
4.897984375747913e-004	9.608163e-003	4.108321e+000	5.567077e+000
4.939837054319343e-004	5.662059e-003	4.411962e+000	5.263696e+000
4.981689732890771e-004	1.718850e-003	4.712319e+000	4.963477e+000
5.023542411462200e-004	-2.221464e-003	5.009393e+000	4.666418e+000
5.065395090033628e-004	-6.158881e-003	5.303183e+000	4.372521e+000
5.107247768605057e-004	-1.009340e-002	5.593689e+000	4.081785e+000
5.149100447176486e-004	-1.402503e-002	5.880911e+000	3.794211e+000
5.190953125747914e-004	-1.795376e-002	6.164849e+000	3.509798e+000
5.239781250747914e-004	-2.251345e-002	6.471175e+000	3.202774e+000
5.288609375747914e-004	-2.705196e-002	6.757374e+000	2.915728e+000
5.337437500747914e-004	-3.156501e-002	7.021555e+000	2.650559e+000
5.386265625747914e-004	-3.604834e-002	7.262696e+000	2.408301e+000
5.435093750747914e-004	-4.049775e-002	7.480559e+000	2.189204e+000
5.483921875747914e-004	-4.490905e-002	7.675578e+000	1.992848e+000
5.532750000747914e-004	-4.927807e-002	7.848713e+000	1.818285e+000
5.581578125747914e-004	-5.360072e-002	8.001314e+000	1.664178e+000
5.630406250747914e-004	-5.787292e-002	8.134980e+000	1.528945e+000
5.679234375747914e-004	-6.209066e-002	8.251442e+000	1.410865e+000
5.728062500747914e-004	-6.624995e-002	8.352466e+000	1.308183e+000
5.776890625747914e-004	-7.034690e-002	8.439784e+000	1.219179e+000
5.825718750747914e-004	-7.437763e-002	8.515042e+000	1.142218e+000
5.874546875747914e-004	-7.833837e-002	8.579764e+000	1.075783e+000
5.923375000747914e-004	-8.222537e-002	8.635339e+000	1.018496e+000
5.972203125747914e-004	-8.603499e-002	8.683008e+000	9.691204e-001
6.021031250747914e-004	-8.976363e-002	8.723874e+000	9.265615e-001
6.069859375747915e-004	-9.340779e-002	8.758902e+000	8.898598e-001
6.118687500747915e-004	-9.696405e-002	8.788931e+000	8.581808e-001
6.167515625747915e-004	-1.004290e-001	8.814688e+000	8.308032e-001
6.216343750747915e-004	-1.037995e-001	8.836797e+000	8.071068e-001
6.265171875747915e-004	-1.070723e-001	8.855791e+000	7.865605e-001
6.314000000747915e-004	-1.102443e-001	8.872129e+000	7.687111e-001
6.362828125747915e-004	-1.133125e-001	8.886200e+000	7.531725e-001
6.411656250747915e-004	-1.162741e-001	8.898333e+000	7.396165e-001
6.460484375747915e-004	-1.191263e-001	8.908810e+000	7.277645e-001
6.509312500747915e-004	-1.218664e-001	8.917870e+000	7.173804e-001
6.558140625747915e-004	-1.244917e-001	8.925714e+000	7.082639e-001
6.606968750747915e-004	-1.269999e-001	8.932514e+000	7.002454e-001
6.655796875747915e-004	-1.293886e-001	8.938416e+000	6.931812e-001
6.704625000747915e-004	-1.316554e-001	8.943544e+000	6.869493e-001
6.753453125747915e-004	-1.337984e-001	8.948001e+000	6.814467e-001
6.802281250747915e-004	-1.358155e-001	8.951877e+000	6.765859e-001
6.851109375747915e-004	-1.377047e-001	8.955246e+000	6.722928e-001
6.899937500747915e-004	-1.394643e-001	8.958174e+000	6.685046e-001
6.948765625747915e-004	-1.410927e-001	8.960712e+000	6.651682e-001
6.997593750747915e-004	-1.425882e-001	8.962910e+000	6.622387e-001
7.046421875747915e-004	-1.439496e-001	8.964803e+000	6.596781e-001
7.095250000747915e-004	-1.451755e-001	8.966425e+000	6.574545e-001
7.144078125747915e-004	-1.462647e-001	8.967805e+000	6.555411e-001
7.192906250747916e-004	-1.472163e-001	8.968964e+000	6.539156e-001
7.241734375747916e-004	-1.480294e-001	8.969921e+000	6.525598e-001
7.290562500747916e-004	-1.487031e-001	8.970692e+000	6.514585e-001
7.339390625747916e-004	-1.492369e-001	8.971289e+000	6.506001e-001
7.388218750747916e-004	-1.496302e-001	8.971722e+000	6.499755e-001
7.437046875747916e-004	-1.498827e-001	8.971995e+000	6.495781e-001
7.485875000747916e-004	-1.499941e-001	8.972116e+000	6.494039e-001
7.534703125747916e-004	-1.499643e-001	8.972084e+000	6.494511e-001
7.583531250747916e-004	-1.497934e-001	8.971900e+000	6.497202e-001
7.632359375747916e-004	-1.494816e-001	8.971560e+000	6.502138e-001
7.681187500747916e-004	-1.490290e-001	8.971061e+000	6.509371e-001
7.730015625747916e-004	-1.484362e-001	8.970392e+000	6.518977e-001
7.778843750747916e-004	-1.477037e-001	8.969545e+000	6.531055e-001
7.827671875747916e-004	-1.468322e-001	8.968507e+000	6.545738e-001
7.876500000747916e-004	-1.458224e-001	8.967258e+000	6.563188e-001
7.925328125747916e-004	-1.446754e-001	8.965781e+000	6.583605e-001
7.974156250747916e-004	-1.433923e-001	8.964049e+000	6.607230e-001
8.022984375747916e-004	-1.419742e-001	8.962033e+000	6.634349e-001
8.071812500747916e-004	-1.404225e-001	8.959700e+000	6.665306e-001
8.120640625747916e-004	-1.387386e-001	8.957005e+000	6.700510e-001
8.169468750747916e-004	-1.369242e-001	8.953899e+000	6.740440e-001
8.218296875747916e-004	-1.349809e-001	8.950327e+000	6.785667e-001
8.267125000747916e-004	-1.329105e-001	8.946218e+000	6.836863e-001
8.315953125747917e-004	-1.307151e-001	8.941494e+000	6.894822e-001
8.364781250747917e-004	-1.283966e-001	8.936056e+000	6.960480e-001
8.413609375747917e-004	-1.259573e-001	8.929795e+000	7.034942e-001
8.462437500747917e-004	-1.233994e-001	8.922579e+000	7.119513e-001
8.511265625747917e-004	-1.207254e-001	8.914249e+000	7.215732e-001
8.560093750747917e-004	-1.179378e-001	8.904625e+000	7.325416e-001
8.608921875747917e-004	-1.150392e-001	8.893488e+000	7.450711e-001
8.657750000747917e-004	-1.120323e-001	8.880584e+000	7.594146e-001
8.706578125747917e-004	-1.089200e-001	8.865610e+000	7.758700e-001
8.755406250747917e-004	-1.057051e-001	8.848215e+000	7.947887e-001
8.804234375747917e-004	-1.023908e-001	8.827980e+000	8.165833e-001
8.853062500747917e-004	-9.898009e-002	8.804420e+000	8.417379e-001
8.901890625747917e-004	-9.547623e-002	8.776962e+000	8.708192e-001
8.950718750747917e-004	-9.188252e-002	8.744944e+000	9.044878e-001
8.999546875747917e-004	-8.820233e-002	8.707591e+000	9.435103e-001
9.048375000747917e-004	-8.443913e-002	8.664014e+000	9.887718e-001
9.097203125747917e-004	-8.059646e-002	8.613193e+000	1.041287e+000
9.146031250747917e-004	-7.667793e-002	8.553967e+000	1.102207e+000
9.194859375747917e-004	-7.268724e-002	8.485034e+000	1.172830e+000
9.243687500747917e-004	-6.862813e-002	8.404949e+000	1.254591e+000
9.292515625747917e-004	-6.450444e-002	8.312134e+000	1.349058e+000
9.341343750747917e-004	-6.032003e-002	8.204905e+000	1.457908e+000
9.390171875747917e-004	-5.607886e-002	8.081509e+000	1.582881e+000
9.439000000747918e-004	-5.178490e-002	7.940184e+000	1.725729e+000
9.487828125747918e-004	-4.744221e-002	7.779243e+000	1.888126e+000
9.536656250747918e-004	-4.305486e-002	7.597178e+000	2.071570e+000
9.585484375747918e-004	-3.862700e-002	7.392783e+000	2.277253e+000
9.634312500747918e-004	-3.416278e-002	7.165300e+000	2.505922e+000
9.683140625747918e-004	-2.966641e-002	6.914557e+000	2.757737e+000
9.731968750747918e-004	-2.514211e-002	6.641106e+000	3.032136e+000
9.780796875747918e-004	-2.059415e-002	6.346320e+000	3.327734e+000
9.829625000747917e-004	-1.602681e-002	6.032453e+000	3.642268e+000
9.927281250747915e-004	-6.851196e-003	5.360743e+000	4.314849e+000
1.007376562574791e-003	6.949758e-003	4.309834e+000	5.365833e+000
1.017142187574791e-003	1.612491e-002	3.637608e+000	6.037274e+000
1.022025000074791e-003	2.069188e-002	3.323322e+000	6.350925e+000
1.026907812574791e-003	2.523937e-002	3.028008e+000	6.645451e+000
1.031790625074791e-003	2.976312e-002	2.753917e+000	6.918609e+000
1.036673437574791e-003	3.425884e-002	2.502423e+000	7.169036e+000
1.041556250074790e-003	3.872233e-002	2.274077e+000	7.396194e+000
1.046439062574790e-003	4.314937e-002	2.068712e+000	7.600261e+000
1.051321875074790e-003	4.753580e-002	1.885573e+000	7.782006e+000
1.056204687574790e-003	5.187749e-002	1.723463e+000	7.942640e+000
1.061087500074790e-003	5.617036e-002	1.580882e+000	8.083677e+000
1.065970312574790e-003	6.041035e-002	1.456151e+000	8.206808e+000
1.070853125074790e-003	6.459350e-002	1.347520e+000	8.313796e+000
1.075735937574790e-003	6.871585e-002	1.253246e+000	8.406393e+000
1.080618750074790e-003	7.277353e-002	1.171657e+000	8.486286e+000
1.085501562574790e-003	7.676271e-002	1.101185e+000	8.555048e+000
1.090384375074789e-003	8.067966e-002	1.040395e+000	8.614124e+000
1.095267187574789e-003	8.452066e-002	9.879944e-001	8.664816e+000
1.100150000074789e-003	8.828212e-002	9.428313e-001	8.708280e+000
1.105032812574789e-003	9.196049e-002	9.038937e-001	8.745535e+000
1.109915625074789e-003	9.555231e-002	8.702983e-001	8.777471e+000
1.114798437574789e-003	9.905420e-002	8.412799e-001	8.804855e+000
1.119681250074789e-003	1.024629e-001	8.161795e-001	8.828355e+000
1.124564062574789e-003	1.057751e-001	7.944317e-001	8.848536e+000
1.129446875074789e-003	1.089878e-001	7.755534e-001	8.865887e+000
1.134329687574788e-003	1.120979e-001	7.591329e-001	8.880821e+000
1.139212500074788e-003	1.151025e-001	7.448198e-001	8.893693e+000
1.144095312574788e-003	1.179987e-001	7.323168e-001	8.904801e+000
1.148978125074788e-003	1.207840e-001	7.213715e-001	8.914402e+000
1.153860937574788e-003	1.234555e-001	7.117699e-001	8.922710e+000
1.158743750074788e-003	1.260108e-001	7.033308e-001	8.929910e+000
1.163626562574788e-003	1.284476e-001	6.959006e-001	8.936155e+000
1.168509375074788e-003	1.307634e-001	6.893491e-001	8.941579e+000
1.173392187574788e-003	1.329562e-001	6.835662e-001	8.946293e+000
1.178275000074788e-003	1.350239e-001	6.784582e-001	8.950392e+000
1.183157812574787e-003	1.369645e-001	6.739461e-001	8.953955e+000
1.188040625074787e-003	1.387761e-001	6.699629e-001	8.957052e+000
1.192923437574787e-003	1.404572e-001	6.664516e-001	8.959741e+000
1.197806250074787e-003	1.420060e-001	6.633643e-001	8.962070e+000
1.202689062574787e-003	1.434212e-001	6.606603e-001	8.964080e+000
1.207571875074787e-003	1.447015e-001	6.583053e-001	8.965807e+000
1.212454687574787e-003	1.458455e-001	6.562707e-001	8.967280e+000
1.217337500074787e-003	1.468523e-001	6.545326e-001	8.968525e+000
1.222220312574787e-003	1.477208e-001	6.530708e-001	8.969562e+000
1.227103125074787e-003	1.484504e-001	6.518693e-001	8.970406e+000
1.231985937574786e-003	1.490402e-001	6.509150e-001	8.971070e+000
1.236868750074786e-003	1.494897e-001	6.501977e-001	8.971567e+000
1.241751562574786e-003	1.497986e-001	6.497101e-001	8.971904e+000
