time	V(vid)	V(vod1)	V(vod2)
4.870082590033628e-004	1.225361e-002	4.426737e+000	5.281206e+000
4.932861607890771e-004	6.348580e-003	4.631694e+000	5.076346e+000
4.995640625747914e-004	4.108608e-004	4.839290e+000	4.868790e+000
5.058419643605057e-004	-5.527513e-003	5.046917e+000	4.661146e+000
5.121198661462200e-004	-1.143446e-002	5.251952e+000	4.456037e+000
5.183977679319343e-004	-1.730997e-002	5.454393e+000	4.253462e+000
5.246756697176486e-004	-2.315406e-002	5.654243e+000	4.053421e+000
5.309535715033628e-004	-2.896672e-002	5.851500e+000	3.855915e+000
5.372314732890771e-004	-3.474795e-002	6.046164e+000	3.660943e+000
5.435093750747914e-004	-4.049775e-002	6.238235e+000	3.468506e+000
5.581578125747914e-004	-5.360072e-002	6.661373e+000	3.044285e+000
5.728062500747914e-004	-6.624995e-002	7.049280e+000	2.654975e+000
5.825718750747914e-004	-7.437763e-002	7.285161e+000	2.417985e+000
5.923375000747914e-004	-8.222537e-002	7.501220e+000	2.200690e+000
6.021031250747914e-004	-8.976363e-002	7.696568e+000	2.003987e+000
6.118687500747915e-004	-9.696405e-002	7.870841e+000	1.828256e+000
6.216343750747915e-004	-1.037995e-001	8.024217e+000	1.673341e+000
6.265171875747915e-004	-1.070723e-001	8.093266e+000	1.603499e+000
6.314000000747915e-004	-1.102443e-001	8.157390e+000	1.538572e+000
6.362828125747915e-004	-1.133125e-001	8.216744e+000	1.478408e+000
6.411656250747915e-004	-1.162741e-001	8.271509e+000	1.422831e+000
6.460484375747915e-004	-1.191263e-001	8.321880e+000	1.371647e+000
6.509312500747915e-004	-1.218664e-001	8.368071e+000	1.324649e+000
6.558140625747915e-004	-1.244917e-001	8.410301e+000	1.281622e+000
6.606968750747915e-004	-1.269999e-001	8.448796e+000	1.242342e+000
6.655796875747915e-004	-1.293886e-001	8.483785e+000	1.206587e+000
6.704625000747915e-004	-1.316554e-001	8.515491e+000	1.174134e+000
6.753453125747915e-004	-1.337984e-001	8.544139e+000	1.144766e+000
6.802281250747915e-004	-1.358155e-001	8.569939e+000	1.118274e+000
6.851109375747915e-004	-1.377047e-001	8.593092e+000	1.094460e+000
6.899937500747915e-004	-1.394643e-001	8.613791e+000	1.073135e+000
6.948765625747915e-004	-1.410927e-001	8.632215e+000	1.054125e+000
6.997593750747915e-004	-1.425882e-001	8.648523e+000	1.037268e+000
7.046421875747915e-004	-1.439496e-001	8.662868e+000	1.022419e+000
7.095250000747915e-004	-1.451755e-001	8.675385e+000	1.009444e+000
7.144078125747915e-004	-1.462647e-001	8.686192e+000	9.982268e-001
7.241734375747916e-004	-1.480294e-001	8.703082e+000	9.806635e-001
7.339390625747916e-004	-1.492369e-001	8.714209e+000	9.690709e-001
7.437046875747916e-004	-1.498827e-001	8.720020e+000	9.630078e-001
7.534703125747916e-004	-1.499643e-001	8.720754e+000	9.622416e-001
7.632359375747916e-004	-1.494816e-001	8.716438e+000	9.667429e-001
7.730015625747916e-004	-1.484362e-001	8.706898e+000	9.766842e-001
7.827671875747916e-004	-1.468322e-001	8.691748e+000	9.924448e-001
7.876500000747916e-004	-1.458224e-001	8.681889e+000	1.002684e+000
7.925328125747916e-004	-1.446754e-001	8.670383e+000	1.014618e+000
7.974156250747916e-004	-1.433923e-001	8.657120e+000	1.028356e+000
8.022984375747916e-004	-1.419742e-001	8.641973e+000	1.044022e+000
8.071812500747916e-004	-1.404225e-001	8.624802e+000	1.061754e+000
8.120640625747916e-004	-1.387386e-001	8.605451e+000	1.081705e+000
8.169468750747916e-004	-1.369242e-001	8.583751e+000	1.104041e+000
8.218296875747916e-004	-1.349809e-001	8.559519e+000	1.128943e+000
8.267125000747916e-004	-1.329105e-001	8.532558e+000	1.156603e+000
8.315953125747917e-004	-1.307151e-001	8.502663e+000	1.187225e+000
8.364781250747917e-004	-1.283966e-001	8.469616e+000	1.221022e+000
8.413609375747917e-004	-1.259573e-001	8.433194e+000	1.258212e+000
8.462437500747917e-004	-1.233994e-001	8.393171e+000	1.299019e+000
8.511265625747917e-004	-1.207254e-001	8.349319e+000	1.343667e+000
8.560093750747917e-004	-1.179378e-001	8.301414e+000	1.392375e+000
8.608921875747917e-004	-1.150392e-001	8.249237e+000	1.445357e+000
8.657750000747917e-004	-1.120323e-001	8.192585e+000	1.502815e+000
8.706578125747917e-004	-1.089200e-001	8.131266e+000	1.564936e+000
8.755406250747917e-004	-1.057051e-001	8.065110e+000	1.631885e+000
8.804234375747917e-004	-1.023908e-001	7.993969e+000	1.703806e+000
8.901890625747917e-004	-9.547623e-002	7.836287e+000	1.863003e+000
8.999546875747917e-004	-8.820233e-002	7.657627e+000	2.043095e+000
9.097203125747917e-004	-8.059646e-002	7.457925e+000	2.244125e+000
9.194859375747917e-004	-7.268724e-002	7.237657e+000	2.465604e+000
9.341343750747917e-004	-6.032003e-002	6.870986e+000	2.833851e+000
9.487828125747918e-004	-4.744221e-002	6.465580e+000	3.240526e+000
9.557582590033632e-004	-4.113096e-002	6.258463e+000	3.448139e+000
9.627337054319345e-004	-3.477153e-002	6.047396e+000	3.659628e+000
9.697091518605059e-004	-2.836391e-002	5.832381e+000	3.874996e+000
9.766845982890772e-004	-2.190810e-002	5.613417e+000	4.094240e+000
9.836600447176486e-004	-1.540411e-002	5.390505e+000	4.317363e+000
9.906354911462200e-004	-8.851924e-003	5.163643e+000	4.544363e+000
9.976109375747914e-004	-2.251554e-003	4.932834e+000	4.775240e+000
1.003191294717648e-003	3.023602e-003	4.748535e+000	4.959542e+000
1.008771651860505e-003	8.278963e-003	4.565834e+000	5.142200e+000
1.014352009003362e-003	1.351453e-002	4.384731e+000	5.323216e+000
1.019932366146220e-003	1.873030e-002	4.205225e+000	5.502588e+000
1.025512723289077e-003	2.392628e-002	4.027317e+000	5.680317e+000
1.031093080431934e-003	2.910246e-002	3.851006e+000	5.856403e+000
1.036673437574791e-003	3.425884e-002	3.676292e+000	6.030846e+000
1.045741517931933e-003	4.258293e-002	3.398186e+000	6.308405e+000
1.054809598289076e-003	5.070485e-002	3.134941e+000	6.570984e+000
1.063877678646219e-003	5.862462e-002	2.886559e+000	6.818583e+000
1.072945759003361e-003	6.634223e-002	2.653040e+000	7.051202e+000
1.082013839360504e-003	7.385769e-002	2.434382e+000	7.268841e+000
1.091081919717647e-003	8.117098e-002	2.230587e+000	7.471500e+000
1.100150000074789e-003	8.828212e-002	2.041654e+000	7.659180e+000
1.109915625074789e-003	9.555231e-002	1.861724e+000	7.837671e+000
1.119681250074789e-003	1.024629e-001	1.702684e+000	7.995187e+000
1.124564062574789e-003	1.057751e-001	1.630838e+000	8.066246e+000
